dataset,window,byte_offset,n_rows,top_organism,top_organism_share,iptm_ge_0.8,authors_gate
heterodimer,133,1638063704,614,3847,0.4984,0.0033,0.0033
heterodimer,134,1650333844,613,10090,0.4568,0.0114,0.0049
heterodimer,135,1662603984,620,10090,0.3645,0.0129,0.0081
heterodimer,136,1674874124,620,10090,0.3677,0.0113,0.0161
heterodimer,137,1687144264,615,3702,0.478,0.0098,0.0049
heterodimer,138,1699414404,607,3847,0.6656,0.0049,0.0016
heterodimer,139,1711684544,609,10090,0.5238,0.0016,0.0033
heterodimer,140,1723954684,593,3847,1.0,0.0051,0.0034
heterodimer,141,1736224824,597,3847,0.6566,0.0017,0.0017
heterodimer,142,1748494964,617,3847,0.4619,0.0049,0.0049
heterodimer,143,1760765105,609,3847,0.8522,0.0033,0.0049
heterodimer,144,1773035245,629,9606,0.6884,0.0016,0.0
heterodimer,145,1785305385,604,3847,0.8146,0.005,0.0017
heterodimer,146,1797575525,609,39947,0.5714,0.0115,0.0082
heterodimer,147,1809845665,627,9606,0.6029,0.0048,0.0
heterodimer,148,1822115805,614,7955,0.4772,0.0098,0.0049
heterodimer,149,1834385945,608,3847,0.9819,0.0181,0.0049
heterodimer,150,1846656085,604,3847,1.0,0.005,0.0066
heterodimer,151,1858926225,602,3847,0.5914,0.0133,0.0033
heterodimer,152,1871196366,639,4577,0.2457,0.0,0.0016
heterodimer,153,1883466506,634,9606,0.5158,0.0032,0.0126
heterodimer,154,1895736646,637,9606,0.5196,0.0031,0.0141
heterodimer,155,1908006786,661,9606,0.3661,0.0045,0.0061
heterodimer,156,1920276926,632,9606,0.5759,0.0174,0.0237
heterodimer,157,1932547066,646,9606,0.4396,0.0031,0.0155
heterodimer,158,1944817206,653,9606,0.4426,0.0,0.0
heterodimer,159,1957087346,636,9606,0.511,0.0142,0.033
heterodimer,160,1969357486,636,4577,0.7311,0.0031,0.0063
heterodimer,161,1981627626,634,9606,0.5757,0.011,0.0174
heterodimer,162,1993897767,625,7955,0.4128,0.0112,0.016
heterodimer,163,2006167907,631,6239,0.3867,0.0079,0.0032
heterodimer,164,2018438047,639,9606,0.3318,0.0031,0.0016
heterodimer,165,2030708187,637,9606,0.6279,0.0047,0.0094
heterodimer,166,2042978327,638,9606,0.5423,0.0063,0.0157
heterodimer,167,2055248467,633,9606,0.5972,0.0411,0.0474
heterodimer,168,2067518607,640,9606,0.5031,0.0047,0.0078
heterodimer,169,2079788747,631,4577,0.4596,0.0095,0.0143
heterodimer,170,2092058887,635,9606,0.5213,0.022,0.0079
heterodimer,171,2104329028,636,9606,0.3774,0.0173,0.0157
heterodimer,172,2116599168,638,9606,0.5611,0.0016,0.0063
heterodimer,173,2128869308,636,9606,0.6132,0.0094,0.0094
heterodimer,174,2141139448,635,9606,0.3008,0.0094,0.0094
