protein_hash,n_res_metric,contact_ratio,plddt_std
136a9a0febc80a10ee7fd5d0ca01750f,314,0.6910828025477707,0.08127010439164277
136a9be3277481f3e6bc638877dc9005,316,0.4620253164556962,0.19932035120155464
136a9c9ab3f117f2e49f43bf43fc1652,304,0.7894736842105263,0.2034350247580462
136a9e3a059bc9112bf2237ea025242e,313,0.8434504792332268,0.07819329581664372
136a9f5c771ab30b2b32122567215021,303,0.5676567656765676,0.24371508272987083
136a9facc5804c1d513a31d95a95b81c,310,0.7354838709677419,0.1618501695775761
136a9fd68e9aa4728e25673f0c27c9a2,316,0.7658227848101266,0.1691740770134344
136aa008c8f8c67382daed7a1f10fa12,313,0.8402555910543131,0.132457361228401
136aa089ed4e56350766c48582dda7fb,303,0.7326732673267327,0.1645415644208497
136aa0f2de999a5e6a6005fec53c49c9,308,0.3961038961038961,0.24477194185405396
136aa1a5f3540220438f6836af09829c,312,0.36538461538461536,0.25114233225035715
136aa3b7bdd772655d4f8c3bab08d35d,318,0.9056603773584906,0.11163249451217634
136aa63fa2c22d7be6c20db56e10ced5,316,0.49050632911392406,0.20968901575914828
136aa77b1c9235de4a8dd93dd32aeca3,309,0.598705501618123,0.07567359031814508
136aa89d8f5aadb04f80e1844cfecf12,306,0.6666666666666666,0.1452726222899291
136aa90839180e7162c64e8d5f473238,314,0.6910828025477707,0.17011796349273192
136aa93b87d2bb1c4467202a3fa1620b,308,0.7792207792207793,0.16757707133459238
136aa98cb5b8c17b8e2e0bffdb58987c,309,0.8640776699029126,0.0892865542484256
136aaa37b31fc0e43efaf43b75faf019,309,0.6893203883495146,0.18617485647430979
136aaab04599314a794ee2ecd6a80502,315,0.692063492063492,0.13331807686217592
136aac979438ec9fb6842d6e85d9efca,309,0.7346278317152104,0.1896494890833891
136aad37ed97ec0d2400ea6dfffe6f3d,303,0.8085808580858086,0.08822486867546127
136aad9cd04d0d122251b71b7c52ab5b,310,0.6741935483870968,0.21073281836168392
136aadcc6f75a5409295389bbb0aa0b2,318,0.8207547169811321,0.14101307803323193
136aadf2d13642f29706f70f0f533761,310,0.7483870967741936,0.19034327740723447
136aae3d0525bd2a72f171efe66310b0,309,0.9061488673139159,0.2011785926791016
136aae6b665dca59e0e17ef3a3a76eb6,317,0.6214511041009464,0.22717339702270622
136aaf9da3cde97dfeddc8c5633e2905,311,0.7491961414790996,0.13396417779367095
136ab006f1abf5d0e618d8040c15eb8b,303,0.7458745874587459,0.13066678842398471
136ab3e664634e6a2844a5a1bfb46938,310,0.8709677419354839,0.06845148612757665
136ab5d39d19202cbbe5da0ec4a45f46,317,0.7034700315457413,0.1697593158209419
136ab5e6a6c60e61e6df0659b2675382,314,0.7420382165605095,0.12333118164872096
136ab63096fdbba680527d156141a65a,307,0.7719869706840391,0.1790625213638644
136ab64e677429997c97d70ec1268bcf,312,0.5032051282051282,0.14232961737170557
136ab8fc1fcb095bbe9dafa5ac2c7df1,305,0.7377049180327869,0.13230807626930693
136ab9b2f6fd7f952d5cd5bcc7ffb5e8,307,0.5374592833876222,0.2271289226373147
136aba1178ee91e08fee9b24b6accaa1,310,0.864516129032258,0.1509430253430125
136aba2a650c01ed129d00b1cb1a25bd,313,0.7092651757188498,0.17673935634489654
136abbb4b430751c6709bbc9d48c196a,307,0.8273615635179153,0.22196176909321047
136abc55cde481294f87ef1cdb79ca69,318,0.8113207547169812,0.19603821466962534
136abca2257501351aac0b1721148685,311,0.842443729903537,0.11159774751357948
136abcab15eff1cffa15c17ff3ddfcd9,313,0.6773162939297125,0.19044606673550163
136abcfdaabee18e7361f92c19c234db,310,0.7225806451612903,0.10211049658494804
136abe2720a90937a92ac8844f6486b1,313,0.6932907348242812,0.12261653812574862
136abea0636194e45f9f6f002d24de87,305,0.9540983606557377,0.10229128178924005
136abf53f114a9f8a2bd03a74e13f559,309,0.6601941747572816,0.13831276582812974
136abfd138384e1b9a696a642e4518e5,309,0.8446601941747572,0.09821495488960372
