protein_hash,seq_len,n_res,n_present_atoms,n_chains,is_monomer,mean_plddt,ptm,blob_bytes
09b8f4f4fbad1777e0c4590d1c84ce6c,160,160,1203,1,True,0.735601544380188,0.7042241096496582,9902
09b8f946060c8c7375bc17ab5e8c3026,160,160,1217,1,True,0.6628705263137817,0.5220034122467041,9823
09b8f973e63766fd0fdc2ef2e16d20ac,160,160,1270,1,True,0.3639106750488281,0.2052142173051834,10332
09b8fad88581863b19d6e7e17598fe17,160,160,1288,1,True,0.5826012492179871,0.4192371964454651,10219
09b904807674befdf253d3f1ba15a2c4,160,160,1349,1,True,0.5610828995704651,0.23634564876556396,10802
09b90553c54bf8e10936f41a65fd1c93,160,160,1288,1,True,0.3066549301147461,0.15126554667949677,10416
09b90681c39405707bfe4ee8c4e22887,160,160,1239,1,True,0.5001341700553894,0.4196469783782959,10273
09b90a73e8704e8706a6fe5c6c047e3a,160,160,1253,1,True,0.842320442199707,0.8555745482444763,10256
09b90ab23ebdde24784cf393f3dedecd,160,160,1300,1,True,0.8417822122573853,0.8685519099235535,10511
09b90ccdc3bab2f0e812958caeed501b,160,160,1251,1,True,0.9377838969230652,0.921334445476532,10080
09b90f6bda6d673dc5006b13eceb20f8,160,160,1303,1,True,0.7106624245643616,0.7037255764007568,10702
09b90f6fc0a78a151a1e7fbeac04e110,160,160,1200,1,True,0.7913774251937866,0.7659740447998047,9858
09b90f9c25015cdedc641d8c3cfd6760,160,160,1220,1,True,0.5802642703056335,0.20582719147205353,9870
09b912160ef8df7cc185998c62f685f2,160,160,1283,1,True,0.7322801947593689,0.6791767477989197,10459
09b912606bd658c3defb223494d6b99a,160,160,1188,1,True,0.6308380365371704,0.6315079927444458,9802
09b9266d4a186b854b23a4469ffcc0c3,160,160,1210,1,True,0.40650853514671326,0.14234600961208344,9890
09b926fe3eb83bcf27e7f2e16132e3f7,160,160,1302,1,True,0.9008582830429077,0.8878588676452637,10451
09b9297ba45a26d294ef1def979e807d,160,160,1190,1,True,0.7181215286254883,0.5786283612251282,9783
09b92bc7d9aebecceca5879ba6049f30,160,160,1202,1,True,0.9049777984619141,0.8949801325798035,9733
09b9314d312b0b87da63befb573d4775,160,160,1313,1,True,0.7550007700920105,0.346274733543396,10545
09b8a484689c123173ac173004a86b79,161,161,1219,1,True,0.42019444704055786,0.17594976723194122,10018
09b8a5bcf420320c5c54ad1a6de76c75,161,161,1174,1,True,0.6719779372215271,0.46647194027900696,9604
09b8a8e02c6a437ac5c18fab9f9a05d9,161,161,1306,1,True,0.8668509721755981,0.8736133575439453,10564
09b8aa3c54480e2678f7d83566198322,161,161,1376,1,True,0.42924007773399353,0.19889970123767853,11098
09b8b03fcc5cc068d28a8ee12311fadf,161,161,1250,1,True,0.6971991062164307,0.6616405248641968,10249
